,total,children,adults,seniors
ANG MO KIO,162280,26010,101040,35220
BEDOK,134210,24420,85420,24370
BISHAN,87320,15440,55840,16040
BOON LAY,0,0,0,0
BUKIT BATOK,77480,15730,51420,10360
BUKIT MERAH,151250,25240,92710,33310
CHOA CHU KANG,192070,40570,131440,20070
BUKIT PANJANG,68150,14660,45180,8340
JURONG EAST,78600,13100,50530,14960
QUEENSTOWN,95930,16570,59040,20310
JURONG WEST,130840,26700,86730,17420
BUKIT TIMAH,77860,17830,46960,13090
CENTRAL WATER CATCHMENT,0,0,0,0
CHANGI,1850,530,1140,190
CHANGI BAY,0,0,0,0
TENGAH,10,0,0,0
CLEMENTI,43630,8650,26790,8210
GEYLANG,55860,8690,35630,11540
HOUGANG,227560,40400,150260,36900
PIONEER,80,0,0,0
PUNGGOL,174450,51470,109620,13390
SELETAR,300,60,210,30
SEMBAWANG,102640,24930,68570,9170
SENGKANG,122480,32590,78820,11070
SERANGOON,116900,19280,75140,22500
SIMPANG,0,0,0,0
SOUTHERN ISLANDS,920,190,650,70
SUNGEI KADUT,370,70,240,90
TAMPINES,259900,48500,173140,38260
TANGLIN,10100,2420,6160,1530
TOA PAYOH,121850,20190,76040,25640
TUAS,70,0,0,0
WESTERN ISLANDS,0,0,0,0
WESTERN WATER CATCHMENT,290,60,220,10
WOODLANDS,255130,55600,173940,25600
YISHUN,221610,45350,147410,28870
DOWNTOWN CORE,1590,180,1210,230
MARINA EAST,0,0,0,0
MARINA SOUTH,0,0,0,0
MUSEUM,510,80,390,60
NEWTON,4310,900,2800,610
ORCHARD,920,200,570,160
OUTRAM,9130,1360,5330,2460
KALLANG,51260,8030,31770,11470
LIM CHU KANG,110,30,70,20
MANDAI,2090,400,1410,270
MARINE PARADE,24520,4580,14710,5250
NORTH-EASTERN ISLANDS,50,0,0,0
NOVENA,49330,9950,30720,8680
PASIR RIS,72540,15030,49840,7670
PAYA LEBAR,0,0,0,0
RIVER VALLEY,5450,1200,3570,700
ROCHOR,6530,880,4260,1400
SINGAPORE RIVER,1730,430,1150,150
STRAITS VIEW,0,0,0,0
